ID,Binomial,Order,Family,Genus,RedList,ReproductiveMode,BodySize,TrophicGroup,HabitatMode,HabitatsIUCN,Continent,EOO,Latitude,ElevMin,Prec,PrecSeas,Temp,TempSeas,HPD,HPDMin,HumanFootprint,Accessibility,Afrotropical,Australasia,Indo_malayan,Nearctic,Neotropical,Oceania,Palearctic
1,Ablepharus_deserti,SQUAMATA,SCINCIDAE,Ablepharus,LC,Oviparous,58.8,Invertebrates,Terrestrial,1,Continent,372098,40.7,219,445.51,60.95,8.91,9522.62,86.32,0.96,29.21,329.71,0,0,0,0,0,0,1
2,Abronia_martindelcampoi,SQUAMATA,ANGUIDAE,Abronia,EN,Viviparous,115,Invertebrates,Arboreal,1,Continent,1896.43,17.56,1376,1442.84,102.39,18.42,1034,36.74,12.19,31.66,332.6,0,0,0,0,1,0,0
3,Abronia_oaxacae,SQUAMATA,ANGUIDAE,Abronia,VU,Viviparous,117,Invertebrates,Arboreal,1,Continent,3396.33,16.75,1528,1133.65,89.88,14.83,969.92,43.75,3.39,30.22,286.1,0,0,0,0,1,0,0
4,Abronia_smithi,SQUAMATA,ANGUIDAE,Abronia,LC,Viviparous,110,Invertebrates,Arboreal,1,Continent,1998.02,15.59,721,1670.19,88.59,18.52,1095.78,48.57,19.38,27.66,587.96,0,0,0,0,1,0,0
5,Acanthocercus_annectens,SQUAMATA,AGAMIDAE,Acanthocercus,LC,Oviparous,167,Carnivorous,Aquatic,3,Continent,388169,9.54,-165,394.03,86.49,25.35,1813.33,31.36,0.45,21.33,476.84,1,0,0,0,0,0,0
6,Acanthocercus_atricollis,SQUAMATA,AGAMIDAE,Acanthocercus,LC,Oviparous,171,Invertebrates,Arboreal,2,Continent,1259520,-16.79,1,819.94,91.83,21.99,2636.49,49.87,0,23.5,351.59,1,0,0,0,0,0,0
7,Acanthocercus_cyanogaster,SQUAMATA,AGAMIDAE,Acanthocercus,LC,Oviparous,167,Invertebrates,Arboreal,20,Continent,131438,-8.7,9,1061.47,93.36,23.39,1418.43,55.9,0,20.02,394.43,1,0,0,0,0,0,0
8,Acanthochelys_macrocephala,TESTUDINES,CHELIDAE,Acanthochelys,NT,Oviparous,235,Carnivorous,Aquatic,3,Continent,194763,-16.94,81,1463.15,57.24,24.68,1942.68,8.06,0.07,12.8,665.78,0,0,0,0,1,0,0
9,Acanthochelys_pallidipectoris,TESTUDINES,CHELIDAE,Acanthochelys,VU,Oviparous,175,Carnivorous,Aquatic,5,Continent,193733,-25.93,31,940.62,51.05,22.05,3998.58,9.96,0.16,17.72,390.18,0,0,0,0,1,0,0
10,Acanthochelys_spixii,TESTUDINES,CHELIDAE,Acanthochelys,NT,Oviparous,170,Carnivorous,Aquatic,5,Continent,601591,-29.87,-1,1406.07,18.28,18.07,3686.83,35.93,0,28.32,175.81,0,0,0,0,1,0,0
11,Acanthodactylus_arabicus,SQUAMATA,LACERTIDAE,Acanthodactylus,LC,Oviparous,77,Invertebrates,Terrestrial,6,Continent,128481,14.83,1,99.15,77.18,22.5,2891.34,29.01,0.56,17.47,709.58,1,0,0,0,0,0,0
12,Acanthodactylus_blanci,SQUAMATA,LACERTIDAE,Acanthodactylus,EN,Oviparous,95,Invertebrates,Terrestrial,4,Continent,6346.3,36.13,-4,478.25,44.28,15.55,6506.64,193.11,50.13,35.41,138.49,0,0,0,0,0,0,1
